[Weapon: Bronze Arrow#(P)]


Thebronze arrowis anarrowmade ofbronze. These arrows are the weakest type of arrows inOld School RuneScape. Anybowis capable of shooting bronze arrows. As with mostarrows, they can bepoisoned.
In order to create this item players must first smeltbronze bars. Then using ahammerandanvil, the player must turn the bar intobronze arrowtips. Creating the bronze bar has no Smithing requirement, while a player must have level 5Smithingto create the arrowheads. Then players should cut logs, and using aknife, turn them intoarrow shafts. After attachingfeathersto the arrow shafts (creatingheadless arrows) players can then use the arrowheads on the headless arrows to create bronze arrows. This entire process requires level 1Fletching.


[Infobox]
Released: 4 January2001(Update)
Members: No
Quest item: No
Tradeable: Yes
Equipable: Yes
Stackable: Yes
Noteable: No
Options: Wield, Drop
Examine: Arrows with bronze heads.
General Store Value: 1 coin
High alch: 0 coins
Low alch: 0 coins
Weight: 0 kg
Respawn time: 100 ticks (60 seconds)
Grand Exchange Value: 3 coins
Grand Exchange Daily Buy Limit: 7,000
Grand Exchange Daily Trades Volume: 2,874,101


[Combat Stats]

Attack Bonuses:
- Stab: +0
- Slash: +0
- Crush: +0
- Magic: +0
- Ranged: +0

Defence Bonuses:
- Stab: +0
- Slash: +0
- Crush: +0
- Magic: +0
- Ranged: +0

Other Bonuses:
- Strength: +0
- Ranged Strength: +7
- Magic Damage: +0%
- Prayer: +0

Slot: Unknown


[Drop Sources]
Source | Level | Quantity | Rarity | Leagueregion
Adventurer JonGetting started Ranged | N/A | 75 | Always | N/A
Adventurer JonHoning my aim | N/A | 275 | Always | N/A
Afflicted | 30; 32; 34; 37 | 7 | 3/128 | 
Al Kharid warrior | 9 | 7 | 3/128 | 
Anja | 2 | 7 | 3/128 | 
Archer (Burthorpe) | 42 | 14 | 3/128 | 
Barbarian (Barbarian Camp)High level | 15 | 10 | 4/128 | 
Barbarian (Barbarian Camp)Low level | 9; 10 | 15 | 3/128 | 
BarbarianHigh level | 15; 17 | 10 | 4/128 | 
BarbarianLow level | 8; 9; 10 | 15 | 3/128 | 
Breoca | 5 | 7 | 3/128 | 
Broken arrow | N/A | 1 | 24/100 | 
Ceolburg | 4 | 7 | 3/128 | 
Chest (Maze) | N/A | 20 | 1/10 | 
Colonel Radick | 38 | 4 | 5/128 | 
Combat path starter kit | N/A | 75 | Always | N/A
Cuffs | 3 | 7 | 3/128 | 
Dark warriorGreat Kourend | 37; 51; 62 | 12 | 4/128 | 
Dark warriorHigh level | 145 | 28 | 4/128 | 
Dark warriorLow level | 8 | 8 | 4/128 | 
Drunken man | 3 | 7 | 3/128 | 
FarmerFree-to-play | 7 | 7 | 3/128 | 
Goblin (Goblin Village) | 5 | 7 | 3/128 | 
Goblin (God Wars Dungeon) | 12; 13; 15; 17 | 7 | 3/128 | 
Goblin (Vault of War) | 5–25 | 7 | 3/128 | 
GoblinDrop table 2 | 2; 5; 13 | 7 | 3/128 | 
Guard (Aldarin) | 21 | 1 | 3/128 | 
Guard (Burthorpe) | 37 | 12 | 3/128 | 
Guard (Doric's hut) | 19 | 2 | 2/128 | 
Guard (Doric's hut) | 19 | 1 | 3/128 | 
Guard (H.A.M. Storerooms) | 20 | 1–13 | 9/500 | 
Guard (Hosidius) | 19; 22 | 1 | 3/128 | 
Guard (Port Sarim jail) | 21 | 2 | 2/128 | 
Guard (Port Sarim jail) | 21 | 1 | 3/128 | 
Guard (Shayzien) | 21 | 2 | 2/128 | 
Guard (Shayzien) | 21 | 1 | 3/128 | 
Guard (Varlamore) | 21 | 1 | 3/128 | 
Guard | 19; 20; 21; 22 | 2 | 2/128 | 
Guard | 19; 20; 21; 22 | 1 | 3/128 | 
Gunthor the brave | 29 | 10 | 4/128 | 
H.A.M. Guard | 12; 18; 22 | 1–12 | 2.66/110 | 
H.A.M. Member | 15 | 1–13 | 3/100 | 
Head Guard | 84 | 1 | 3/128 | 
Hengel | 2 | 7 | 3/128 | 
Hygd | 4 | 7 | 3/128 | 
Jeff | 2 | 7 | 3/128 | 
The Leviathan | 593; 798; 1157 | 63; 94 | 1/100 | 
Lynx Tamer | 21 | 1 | 3/128 | 
Man | 2 | 7 | 3/128 | 
Minotaur | 12; 27 | 3 | 3/101 | 
Narf | 2 | 7 | 3/128 | 
Ocga | 5 | 7 | 3/128 | 
Penda | 5 | 7 | 3/128 | 
Pirate | 23; 26; 57 | 9 | 3/128 | 
Pirate | 23; 26; 57 | 12 | 2/128 | 
Reward casket (beginner) | N/A | 10–25 | 11/492 | 
RogueLevel 15 | 15 | 7 | 3/128 | 
Rusty | 2 | 7 | 3/128 | 
Sergeant (Shayzien) | 84 | 1 | 3/128 | 
SkeletonUnarmed | 21; 22 | 2 | 7/128 | 
SkeletonUnarmed | 21; 22 | 5 | 4/128 | 
Soldier (Shayzien) | 21 | 1–2 | 3/128 | 
Soldier (Yanille) | 28 | 4 | 5/128 | 
Spiritual ranger | 115–158 | 16 | 13/128 | 
Thief (Varlamore) | 16 | 5–10 | 3/128 | 
Thief | 14; 16; 21 | 7 | 3/128 | 
Tower guard | 28 | 4 | 5/128 | 
Woman | 2 | 7 | 3/128 | 
Zombie (Entrana Dungeon) | 25 | 8 | 4/128 | 


[Used in Recommended Equipment]
Rank | Method
5 | Free-to-play Ironman guide(Rangedgear)
5 | Free-to-play Ranged training(Rangedgear)
