[Weapon: Steel Arrow#(P)]


Thesteel arrowis anarrowmade out ofsteel arrowtips,arrow shaftsandfeathers. AFletchinglevel of 30 is required to make steel arrows. You also have to have aSmithinglevel of 35 to make your own steel arrowtips. Steel arrows can be fired fromoak bowsor better. As with mostarrows, they can bepoisoned.
Ava's accumulator(from theAnimal Magnetismquest) generates steel arrows in theammo slot, and also randomly attracts items into your inventory.


[Infobox]
Released: 25 March2002(Update)
Members: No
Quest item: No
Tradeable: Yes
Equipable: Yes
Stackable: Yes
Noteable: No
Options: Wield, Drop
Examine: Arrows with steel heads.
General Store Value: 12 coins
High alch: 7 coins
Low alch: 4 coins
Weight: 0 kg
Respawn time: 100 ticks (60 seconds)
Grand Exchange Value: 17 coins
Grand Exchange Daily Buy Limit: 7,000
Grand Exchange Daily Trades Volume: 3,947,802


[Combat Stats]

Attack Bonuses:
- Stab: +0
- Slash: +0
- Crush: +0
- Magic: +0
- Ranged: +0

Defence Bonuses:
- Stab: +0
- Slash: +0
- Crush: +0
- Magic: +0
- Ranged: +0

Other Bonuses:
- Strength: +0
- Ranged Strength: +16
- Magic Damage: +0%
- Prayer: +0

Slot: Unknown


[Drop Sources]
Source | Level | Quantity | Rarity | Leagueregion
Accumulator max cape | N/A | 1 | 1,975/2,000 | &
Alexis | 24 | 50 | 10/512 | 
Angry barbarian spirit | 166 | 20 | 3/128 | 
Archer (Burthorpe) | 42 | 14 | 2/128 | 
Ava's accumulator | N/A | 1 | 1,975/2,000 | &
Ava's attractor | N/A | 1 | 1/2,000 | 
Balfrug Kreeyath | 151 | 95–100 | 7/127 | 
Berserk barbarian spirit | 166 | 20 | 3/128 | 
Black Knight TitanNormal | 120 | 10 | 2/128 | N/A
Boris | 24 | 50 | 10/512 | 
Bree | 146 | 95–100 | 8/127 | 
Broken arrow | N/A | 1 | 10/100 | 
Colonel Radick | 38 | 8 | 1/128 | 
Colonel Radick | 38 | 2 | 4/128 | 
Cyclops (Ardougne Zoo) | 56 | 10 | 2/128 | 
Dagannoth (Waterbirth Island)Level 88 | 88 | 1–30 | 10/128 | 
Dagannoth (Waterbirth Island)Level 90 | 90 | 15 | 5/128 | 
Dagannoth Supreme | 303 | 50–250 | 5/128 | 
Dagannoth | 74; 92 | 15 | 2/128 | 
Eduard | 24 | 50 | 10/512 | 
Elaborate lockbox | N/A | 15–25 | 2 × 6/50 | 
Enraged barbarian spirit | 166 | 20 | 3/128 | 
Flight Kilisa | 159 | 91–101 | 7/127 | 
Flockleader Geerin | 149 | 91–101 | 7/127 | 
Galina | 24 | 50 | 10/512 | 
Georgy | 24 | 50 | 10/512 | 
Giant frogLevel 99 | 99 | 45 | 1/128 | 
Giant skeleton (Tarn's Lair) | 100 | 11 | 2/128 | 
Growler | 139 | 95–100 | 8/127 | 
Guard (Aldarin) | 21 | 5 | 1/128 | 
Guard (Aldarin) | 21 | 1 | 4/128 | 
Guard (Burthorpe) | 37 | 12 | 2/128 | 
Guard (Doric's hut) | 19 | 5 | 1/128 | 
Guard (Doric's hut) | 19 | 1 | 4/128 | 
Guard (H.A.M. Storerooms) | 20 | 1–13 | 6/500 | 
Guard (Hosidius) | 19; 22 | 5 | 1/128 | 
Guard (Hosidius) | 19; 22 | 1 | 4/128 | 
Guard (Port Sarim jail) | 21 | 5 | 1/128 | 
Guard (Port Sarim jail) | 21 | 1 | 4/128 | 
Guard (Shayzien) | 21 | 5 | 1/128 | 
Guard (Shayzien) | 21 | 1 | 4/128 | 
Guard (Varlamore) | 21 | 5 | 1/128 | 
Guard (Varlamore) | 21 | 1 | 4/128 | 
Guard | 19; 20; 21; 22 | 5 | 1/128 | 
Guard | 19; 20; 21; 22 | 1 | 4/128 | 
H.A.M. Guard | 12; 18; 22 | 1–10 | 2/110 | 
H.A.M. Member | 15 | 1–13 | 2/100 | 
Head Guard | 84 | 5 | 1/128 | 
Head Guard | 84 | 1 | 4/128 | 
Hill Giant (Giants' Plateau) | 28 | 10 | 2/128 | 
Hill Giant (Kourend) | 28 | 10 | 2/128 | 
Hill Giant (Varlamore) | 28 | 10 | 2/128 | 
Hill Giant | 28 | 10 | 2/128 | 
Imre | 24 | 50 | 10/512 | 
Irina | 24 | 50 | 10/512 | 
Joseph | 24 | 50 | 10/512 | 
Ksenia | 24 | 50 | 10/512 | 
Lev | 24 | 50 | 10/512 | 
Liliya | 24 | 50 | 10/512 | 
Lynx Tamer | 21 | 5 | 1/128 | 
Lynx Tamer | 21 | 1 | 4/128 | 
Mammoth | 80 | 15 | 5/128 | 
Milla | 24 | 50 | 10/512 | 
Moss giantRegular | 42; 48 | 30 | 1/128 | 
Nikita | 24 | 50 | 10/512 | 
Nikolai | 24 | 50 | 10/512 | 
Ogress Shaman | 82 | 10–30 | 5/116 | 
Ogress Warrior | 82 | 10–30 | 5/116 | 
Ranging capeaccumulator | N/A | 1 | 1,975/2,000 | 
Rock lobster | 127 | 1–10 | 10/128 | 
Sergeant (Shayzien) | 84 | 5 | 1/128 | 
Sergeant (Shayzien) | 84 | 1 | 4/128 | 
Sergeant Grimspike | 142 | 95–100 | 7/127 | 
Sergeant Steelwill | 142 | 95–100 | 7/127 | 
Sergeant Strongstack | 141 | 95–100 | 7/127 | 
Skeleton (Tarn's Lair)High level | 81; 87 | 11 | 2/128 | 
Skeleton (Tarn's Lair)Low level | 42; 59 | 9 | 3/128 | 
Skeleton (mage) | 94 | 11 | 2/128 | 
Skeleton brute | 132 | 20 | 3/128 | 
Skeleton heavy | 132 | 20 | 3/128 | 
Skeleton hero | 149 | 20 | 3/128 | 
Skeleton thug | 132 | 20 | 3/128 | 
Skeleton warlord | 132 | 20 | 3/128 | 
SkeletonUnarmed | 21; 22 | 1 | 1/128 | 
Sofiya | 24 | 50 | 10/512 | 
Soldier (Shayzien) | 21 | 5 | 1/128 | 
Soldier (Shayzien) | 21 | 1 | 4/128 | 
Soldier (Yanille) | 28 | 8 | 1/128 | 
Soldier (Yanille) | 28 | 2 | 4/128 | 
Sourhog | 37 | 3–7 | 5/110 | &
Spiritual ranger | 115–158 | 12 | 4/128 | 
Starlight | 149 | 95–100 | 8/127 | 
Strange shrine | N/A | 0–632 | 1/9 | 
Svetlana | 24 | 50 | 10/512 | 
TortoiseNo riders | 79 | 12–23 | 20/128 | 
TortoiseWith riders | 92 | 12–23 | 10/128 | 
Tower guard | 28 | 8 | 1/128 | 
Tower guard | 28 | 2 | 4/128 | 
Tstanon Karlak | 145 | 95–100 | 7/127 | 
Vera | 24 | 50 | 10/512 | 
Wallasalki | 98 | 1–10 | 10/128 | 
Wingman Skree | 143 | 91–101 | 7/127 | 
Yadviga | 24 | 50 | 10/512 | 
Yuri | 24 | 50 | 10/512 | 
Zakl'n Gritch | 142 | 95–100 | 7/127 | 
Zamorak ranger | 81; 82 | 10 | 2/50 | 
Zoja | 24 | 50 | 10/512 | 
Zombie (Stronghold of Security) | 30; 44; 53 | 5–14 | 20/100 | 
Zombie (Tarn's Lair)Low level | 40–56 | 7 | 3/128 | 
