[Weapon: Rune Chainbody]


Arune chainbodyis achainbodymade ofrunite. To wear this chainbody, a player needs at least level 40Defence. This piece of body armour is less resistant than therune platebodyin all stats exceptcrushandmagicand wearing it does not require completion ofDragon Slayer I. For this reason it is commonly worn by players who have not finished said quest or who are fighting againstmonstersthat use crush attacks. It is also useful for rangers since it has higher defence bonuses than thegreen d'hide bodyand it does not penalise ranged attack.
A player with 96Smithingcan make the chainbody by using threerunite barson ananvil, granting 225 Smithingexperience. It can also be bought atScavvo's Rune Storein theChampions' Guild, or formembers, atSeddu's Adventurer's StoreinNardah.


[Infobox]
Released: 26 July2001(Update)
Members: No
Quest item: No
Tradeable: Yes
Equipable: Yes
Stackable: No
Noteable: Yes
Options: Wear, Drop
Examine: A series of connected metal rings.
General Store Value: 50,000 coins
High alch: 30,000 coins
Low alch: 20,000 coins
Weight: 6.803 kg
Grand Exchange Value: 29,194 coins
Grand Exchange Daily Buy Limit: 70
Grand Exchange Daily Trades Volume: 64,208


[Combat Stats]

Attack Bonuses:
- Stab: +0
- Slash: +0
- Crush: +0
- Magic: -15
- Ranged: +0

Defence Bonuses:
- Stab: +63
- Slash: +72
- Crush: +78
- Magic: -3
- Ranged: +65

Other Bonuses:
- Strength: +0
- Ranged Strength: +0
- Magic Damage: +0%
- Prayer: +0

Slot: Body slot


[Drop Sources]
Source | Level | Quantity | Rarity | Leagueregion
Abyssal demonStandard | 124 | 1 | 1/128 | 
Abyssal demonWilderness Slayer Cave | 124 | 1 | 1/68 | 
Agility dispenserLaps 16-30 | N/A | 1(noted) | 1/9 | 
Agility dispenserLaps 31-60 | N/A | 1(noted) | 2/10 | 
Agility dispenserLaps 61+ | N/A | 1(noted) | 6/20 | 
Black demonRegular | 172; 178; 184 | 1 | 1/128 | 
Black demonWilderness Slayer Cave | 188 | 1 | 1/74 | 
Brutal green dragon | 227 | 1 | 1/128 | 
BryophytaMembers | 128 | 1 | 6/118 | 
BryophytaF2P | 128 | 1 | 6/118 | 
Casket (Reward pool) | N/A | 1(noted) | 9/230 | 
Cerberus | 318 | 1 | 4/128 | 
Dark Chest | 28 | 1 | 10/600 | 
Dark beast | 182 | 1 | 1/128 | 
Demonic gorilla | 275 | 1 | 20/500 | 
Deviant spectre | 169 | 1 | 1/128 | 
Gold Chest (black) | N/A | 1 | 2/144.18;2/142.44 | 
Gold Chest (brown) | N/A | 1 | 2/143.99;2/142.26 | 
Gold Chest (crimson) | N/A | 1 | 2/144.08;2/142.35 | 
Gold Chest (purple) | N/A | 1 | 2/144.28;2/142.54 | 
Gold Chest (red) | N/A | 1 | 2/143.91;2/142.17 | 
GorakFull | 145; 149 | 1 | 1/128 | 
Greater NechryaelRegular | 200 | 1 | 1/128 | 
Greater NechryaelWilderness Slayer Cave | 200 | 1 | 1/112 | 
Greater abyssal demon | 342 | 1 | 1/128 | 
Kalphite Guardian | 141 | 1 | 1/128 | 
Kalphite Queen | 333 | 1 | 4/126 | 
Lizardman shaman | 150 | 1 | 6/250 | 
Monumental chest | N/A | 4(noted) | 3 × 1/30 | 
NechryarchGreater | 300 | 1 | 3 × 1/128 | 
Night beast | 374 | 1 | 3 × 1/128 | 
Ninja impling jar | N/A | 1 | 1/19 | 
Ninja impling | 74; 84 | 1 | 1/19 | 
Nuclear smoke devil | 280 | 1 | 3 × 2/128 | 
Obor | 106 | 1 | 3/118 | 
Repugnant spectre | 335 | 1 | 3 × 1/128 | 
Reward Chest (The Gauntlet) | N/A | 1–2(noted) | 2 × 1/24 | 
Reward Chest (The Gauntlet)(Corrupted) | N/A | 2–3(noted) | 3 × 1/24 | 
Rewards Chest (Fortis Colosseum)Wave 3 | N/A | 1 | 9/70 | 
Rewards Chest (Fortis Colosseum)Wave 4 | N/A | 1 | 5,535/43,400 | 
Rewards Chest (Fortis Colosseum)Wave 2 | N/A | 1 | 1/7 | 
Scorpia | 225 | 1 | 4/128 | 
ScurriusMVP | 200; 250 | 1 | 6/100 | 
Silver Chest (black) | N/A | 1 | 1/152.6;1/148.88 | 
Silver Chest (brown) | N/A | 1 | 1/152.46;1/148.74 | 
Silver Chest (crimson) | N/A | 1 | 1/152.53;1/148.81 | 
Silver Chest (purple) | N/A | 1 | 1/152.67;1/148.95 | 
Silver Chest (red) | N/A | 1 | 1/152.39;1/148.68 | 
Smoke devil | 160 | 1 | 2/128 | 
Thermonuclear smoke devil | 301 | 1 | 4/107 | 
