[Weapon: Virtus Mask]


TheVirtus maskis a part of theVirtus robesset that is worn in thehead slot, requiring level 78 inMagicand 75Defenceto equip. It can be obtained as a rare drop fromThe Leviathan,The Whisperer,Vardorvis, andDuke Sucellus.
Each piece of Virtus robes gives a 2%magic damagebonus for a total of 6%. When using combat spells fromAncient Magicks, the magic damage bonus is increased to 5% for each piece for a total of 15%.


[Infobox]
Released: 26 July2023(Update)
Members: Yes
Quest item: No
Tradeable: Yes
Equipable: Yes
Stackable: No
Noteable: Yes
Options: Wear, Drop
Examine: An ancient mage's mask.
General Store Value: 200,000 coins
High alch: 120,000 coins
Low alch: 80,000 coins
Weight: 1.206 kg
Grand Exchange Value: 3,838,156 coins
Grand Exchange Daily Buy Limit: 8
Grand Exchange Daily Trades Volume: 774


[Combat Stats]

Attack Bonuses:
- Stab: +0
- Slash: +0
- Crush: +0
- Magic: +8
- Ranged: -3

Defence Bonuses:
- Stab: +15
- Slash: +14
- Crush: +16
- Magic: +6
- Ranged: +0

Other Bonuses:
- Strength: +0
- Ranged Strength: +0
- Magic Damage: +2%
- Prayer: +1

Slot: Head slot


[Drop Sources]
Source | Level | Quantity | Rarity | Leagueregion
Duke Sucellus | 538; 758; 1099 | 1 | 1/2,160 | 
The Leviathan | 593; 798; 1157 | 1 | 1/2,304 | 
Vardorvis | 572; 784; 1136 | 1 | 1/3,264 | 
The Whisperer | 587; 791; 1146 | 1 | 1/1,536 | 


[Used in Recommended Equipment]
Rank | Method
3 | Adamant dragon/Strategies(Magic)
3 | Adamant dragon/Strategies(Magic)
4 | Ancient Wyvern/Strategies(Magic)
2 | Barbarian Assault/Strategies(Magic)
2 | Barrows/Strategies(Magic equipment)
2 | Chambers of Xeric/Strategies(Magic)
2 | Commander Zilyana/Strategies(Magic)
2 | Deranged archaeologist/Strategies(Magic)
2 | Drake/Strategies(Magic)
2, 3 | Fortis Colosseum/Strategies(Mage)
3 | General Graardor/Strategies(Solo (Magic))
2 | Giant Mole/Strategies(Magic)
2 | Greater Nechryael/Strategies(Bursting/Barraging)
2 | Hespori/Strategies(Mage)
3 | K'ril Tsutsaroth/Strategies(Magic)
4 | Kalphite Queen/Strategies(Max Mage (0 switches))
3 | Kree'arra/Strategies(Magic)
1 | Maniacal monkey/Strategies(Magic - Ice Barrage)
1 | Maniacal monkey/Strategies(Magic - Ice Burst)
3 | Metal dragons/Strategies(Magic)
2 | The Mimic/Strategies(Magic)
2 | Mithril dragon/Strategies(Magic)
2 | Nightmare Zone/Strategies(Magic)
2 | The Nightmare/Strategies(Mage)
2 | Phantom Muspah/Strategies(Magic & Ranged)
2 | Phosani's Nightmare/Strategies(Mage)
3 | Rune dragon/Strategies(Magic)
3 | Sarachnis/Strategies(Magic)
2 | Scurrius/Strategies(Magic (high level))
2 | Skeletal Wyvern/Strategies(Magic)
1 | Skeleton (Ape Atoll)(Magic)
2 | Slayer task/Abyssal demons(Magic)
4 | Slayer task/Fossil Island wyverns(Magic)
2 | Slayer task/Jellies(Magic)
2 | Slayer task/Nechryael(Magic)
2 | The Bane of Demons(Magic)
2 | Tombs of Amascut/Strategies(Magic switch)
2 | Tormented Demon/Strategies(Magic switch)
2 | TzHaar Fight Cave/Strategies(Magic)
2 | Ultimate Ironman Guide/Equipment
2 | The Whisperer/Strategies(Magic)
2 | Zulrah/Strategies(Magic)
