[Slayer Master: Krystilia]

 | This article has astrategy guide.All information on mechanics and strategy will be on this page.

 | This article has a calculatorhere.Calculatorsdetermine experience and costs based on real-time prices from theGrand Exchange Market Watch.

Krystilia







Released | 11 July2013(Update)

Members | No

Race | Human

Location | Edgevilleguardhouse

Leagueregion | Misthalin✓

Shop | Slayer Equipment,Slayer Rewards

Gender | Female

Options | Talk-to, Assignment, Trade, Rewards

Examine | A witch who likes chaos - she looks dangerous!



Map



Advanced data



NPC ID | 7663

Link | MOID



Krystiliais aSlayer masterfound inEdgeville's jail north-east of thebank. When spoken to, she expresses her love formagicand the Wilderness, and claims the guards locked her in the cell for trouble-making.

Players can speak to her to change theirrespawnpoint to Edgeville for a one-time fee of 5,000,000coins.

Slayer[edit|edit source]

She is a Slayer master who assigns the playermonstersfound within theWilderness.Onlykills within the Wilderness count towards her tasks. Before being assigned a Wilderness task, she will warn you that she will assignanymonster regardless of your combat level.

Unlike other slayer masters, Krystilia's tasks have a separate counter from the normal slayer masters, thus players must complete five tasks from her to begin their Wilderness point streak. Despite using two different counters, playerscannothave both a normal and Wilderness slayer task at the same time. However, if the player is given a task they do not want and cannot skip it, they can go toTuraelto remove it (provided that he cannot assign it), though this will remove the Wilderness task streak and require players to complete another five tasks from her to start gaining points again.

For a kill to count towards a Krystilia task, the player must be physically located inside the Wilderness when the monster's death occurs. A player who is using adwarf multicannonwill receive the standard "As your slayer task is from Krystilia, you can only perform it inside the Wilderness" message if they teleport out of the Wilderness to restock and remain outside of it when their cannon kills the monster. The safe zone buffer immediately outside theFerox Enclavecounts as the Wilderness for task purposes, but the Enclave itself does not. Thus a player using thepool of refreshmentto resupply will not receive credit for the kill if they are inside the Enclave.

In return for completing her tasks in the Wilderness, players will have a chance to roll forLarran's keyandSlayer's enchantmentdrops. Due to the nature of the Wilderness and the varying location(s) of the assigned monster(s), it is recommended that players do not bring items they are not willing to lose, as it is possible to be killed at any time from other players. She also awards significantly more slayer points than any other master.

Completion of a task assigned by Krystiliafrom 5th task streak and beyondwill grant:

Task interval | Points given

Every task | 25

Every 10th | 125

Every 50th | 375

Every 100th | 625

Every 250th | 875

Every 1,000th | 1,250

Note:Krystilia's taskscannotbe stored using the Task Storage unlock from theSlayer Rewardsshop.

Useful teleports[edit|edit source]

Edgeville-Fairy ring(codeDKR),Amulet of glory, orPaddewwa TeleportEdgeville Monastery-Combat braceletLesser Fanatic-Achievement Diary Capeis the closest teleport toKrystiliaCorporeal Beastlair -Games necklaceThe Forgotten Cemetery-Cemetery TeleportorDareeyak TeleportBurning amuletChaos TempleBandit CampLava MazeGraveyard of Shadows-Carrallanger TeleportDemonic Ruins-Annakarl TeleportFrozen Waste Plateau-Ice Plateau TeleportorGhorrock TeleportFountain of Rune-Wilderness sword 4

Tasks[edit|edit source]

Monster | Amount | Extended amt. | Combat Level | Slayer Exp | Location | Wilderness Level | Task weight

Abyssal demons[n 1][n 2] | 75-125 | 200-250 | 124 | 150 | Wilderness Slayer Cave | 35-39 | 5

Ankou | 75-125 | 91-150 | 86, 98 | 70, 100 | The Forgotten Cemetery,Wilderness Slayer Cave | 27-31, 34-36 | 6

Aviansie[n 3][n 4][n 5] | 75-125 | 200-250 | 69-137 | 70-139 | Wilderness God Wars Dungeon | 26-29 | 7

Bandits | 75-125 | N/A | 22, 34, 130 | 27, 37, 159 | Bandit Camp | 17-24 | 4

Bears[n 6] | 65-100 | N/A | 21,320,470 | 17-21, 25, 27 | North-west of theFerox Enclave, west of theGraveyard of Shadows, south of theWestern Ruins | 18-22 | 6

Black demons[n 7] | 100-150 | 200-250 | 172, 188 | 157, 200 | Edgeville Dungeon,Wilderness Slayer Cave | 5-6, 28-31 | 7

Black dragons[n 8] | 8-16 | 40-60 | 227, 247 | 199.4 | Lava Maze Dungeon,Wilderness Slayer Cave | 44-45; 30-31 | 4

Black Knights | 75-125 | N/A | 33 | 42 | South ofSilk Chasm,Lava Maze | ~35, ~40 | 3

Bloodveld[n 3][n 9] | 70-110 | 200-250 | 81 | 134 | Wilderness God Wars Dungeon | 26-29 | 4

Chaos druids | 50-90 | N/A | 13, 129 | 20, 150 | Edgeville Dungeon,Chaos Temple(Elder Chaos druids) | 1-5, 11-12 | 5

Dark warriors | 75-125 | N/A | 8, 145 | 17, 181.4 | Dark Warriors' Fortress | 12-16 | 4

Dust devils[n 2][n 10][1] | 75-125 | 200-250 | 93 | 105 | Wilderness Slayer Cave | 18-24 | 5

Earth warriors | 75-125 | N/A | 51 | 54 | Edgeville Dungeon | 7-10 | 6

Ents | 35-60 | N/A | 101 | 107.5 | Forests north and east of theChaos Temple | 9-14, 20-24 | 5

Fire giants | 75-125 | N/A | 86 | 111 | Deep Wilderness Dungeon | 53 | 7

Greater demons | 100-150 | 200-250 | 92, 104 | 87, 120 | Demonic Ruins,Lava Maze Dungeon,Wilderness Slayer Cave | 41-43, 45-48; 25-29 | 8

Green dragons | 65-100 | N/A | 79, 88 | 75, 100 | West of theDark Warriors' Fortress, north of theGraveyard of Shadows, south of theLava Maze, south-west of theBone Yard,Wilderness Slayer Cave | 12-14, 24-26, 35-38; 18-24 | 4

Hellhounds[n 11] | 75-125 | N/A | 122, 136 | 116, 150 | North-east of theDeserted Keep,Wilderness Slayer Cave | 49-54; 18-20 | 7

Hill Giants | 75-125 | N/A | 28 | 35 | Near theBoneyard Hunter area,Deep Wilderness Dungeon | ~20, ~50 | 3

Ice giants | 100-150 | N/A | 53, 67 | 70, 100 | Frozen Waste Plateau,Wilderness Slayer Cave | 46-55; ~18 | 6

Ice warriors | 100-150 | N/A | 57 | 59 | Frozen Waste Plateau | 44-55 | 7

Jellies[n 2][n 12] | 100-150 | N/A | 78 | 75 | Wilderness Slayer Cave | 19-22 | 5

