[Weapon: Iron Dagger#(P++)]


Theiron daggeris adaggerstronger than thebronze dagger. Players can make an iron dagger with theSmithingskill at level 15 using 1iron bar, giving the player 25 Smithingexperience.Memberscanpoisonthis weapon, giving them an advantage incombat. Players can purchase this dagger from theVarrock Swordshop. There are also several spawn points throughout the map. As with mostdaggers, it can bepoisoned.
Players with at least level 32Thievingcan get an iron dagger (p) by pickpocketingRogues. Rogues are located south-west of the deepWildernessMage Arena.


[Infobox]
Released: 4 January2001(Update)
Members: No
Quest item: No
Tradeable: Yes
Equipable: Yes
Stackable: No
Noteable: Yes
Options: Wield, Drop
Examine: Short but pointy.
General Store Value: 35 coins
High alch: 21 coins
Low alch: 14 coins
Weight: 0.453 kg
Respawn time: 500 ticks (300 seconds)
Grand Exchange Value: 116 coins
Grand Exchange Daily Buy Limit: 125
Grand Exchange Daily Trades Volume: 18,432


[Combat Stats]

Attack Bonuses:
- Stab: +5
- Slash: +3
- Crush: -4
- Magic: +1
- Ranged: +0

Defence Bonuses:
- Stab: +0
- Slash: +0
- Crush: +0
- Magic: +1
- Ranged: +0

Other Bonuses:
- Strength: +4
- Ranged Strength: +0
- Magic Damage: +0%
- Prayer: +0

Slot: Weapon slot


[Combat Styles]
Combat style | Attack type | Weapon style | Attack speed | Range | Experience | Level boost
 | Stab | Stab | Accurate | 4 ticks (2.4s) | 1 tile |  | +3 Attack
 | Lunge | Stab | Aggressive |  | +3 Strength
 | Slash | Slash | Aggressive |  | +3 Strength
 | Block | Stab | Defensive |  | +3 Defence


[Drop Sources]
Source | Level | Quantity | Rarity | Leagueregion
Afflicted | 30; 32; 34; 37 | 1 | 1/128 | 
Al Kharid warrior | 9 | 1 | 1/128 | 
Anja | 2 | 1 | 1/128 | 
Banshee | 23 | 1 | 2/128 | 
Black Knight TitanNormal | 120 | 1 | 4/128 | N/A
Breoca | 5 | 1 | 1/128 | 
Ceolburg | 4 | 1 | 1/128 | 
Cuffs | 3 | 1 | 1/128 | 
Cyclops (Ardougne Zoo) | 56 | 1 | 4/128 | 
Druid | 33 | 1 | 6/128 | 
Drunken man | 3 | 1 | 1/128 | 
FarmerFree-to-play | 7 | 1 | 1/128 | 
Ghast | 30; 79; 109; 139 | 1 | 2/128 | 
Guard (Aldarin) | 21 | 1 | 6/128 | 
Guard (Doric's hut) | 19 | 1 | 6/128 | 
Guard (H.A.M. Storerooms) | 20 | 1 | 9/500 | 
Guard (Hosidius) | 19; 22 | 1 | 6/128 | 
Guard (Port Sarim jail) | 21 | 1 | 6/128 | 
Guard (Shayzien) | 21 | 1 | 6/128 | 
Guard (Varlamore) | 21 | 1 | 6/128 | 
Guard | 19; 20; 21; 22 | 1 | 6/128 | 
H.A.M. Guard | 12; 18; 22 | 1 | 3/110 | 
H.A.M. Member | 15 | 1 | 3/100 | 
Head Guard | 84 | 1 | 6/128 | 
Hengel | 2 | 1 | 1/128 | 
Hill Giant (Giants' Plateau) | 28 | 1 | 4/128 | 
Hill Giant (Kourend) | 28 | 1 | 4/128 | 
Hill Giant (Varlamore) | 28 | 1 | 4/128 | 
Hill Giant | 28 | 1 | 4/128 | 
Hygd | 4 | 1 | 1/128 | 
Jeff | 2 | 1 | 1/128 | 
Lynx Tamer | 21 | 1 | 6/128 | 
Man | 2 | 1 | 1/128 | 
Narf | 2 | 1 | 1/128 | 
Ocga | 5 | 1 | 1/128 | 
Ogre Coffin | 20 | 1 | 3/100 | 
Penda | 5 | 1 | 1/128 | 
Pirate | 23; 26; 57 | 1 | 6/128 | 
RogueLevel 15 | 15 | 1 | 1/128 | 
Rusty | 2 | 1 | 1/128 | 
Screaming banshee | 70 | 1 | 3 × 2/128 | 
Sergeant (Shayzien) | 84 | 1 | 6/128 | 
Skeleton (Tarn's Lair)Medium level | 40; 63; 72; 77 | 1 | 3/128 | 
SkeletonUnarmed | 21; 22 | 1 | 6/128 | 
Soldier (Shayzien) | 21 | 1 | 6/128 | 
Specimen tray | 1 | 1 | 1/11 | 
Storage crate | N/A | 1 | 10/195 | 
Thief (Varlamore) | 16 | 1 | 1/128 | 
Thief | 14; 16; 21 | 1 | 1/128 | 
Uncleaned find | N/A | 1 | 26/459 | 
Woman | 2 | 1 | 1/128 | 
Zombie (Kourend) | 56; 70; 72; 76 | 1 | 2/128 | 
Zombie (Wilderness) | 18; 24 | 1 | 2/128 | 
Zombie pirate (Braindeath Island) | 57 | 1 | 2/128 | 
Zombie swab | 55 | 1 | 2/128 | 
ZombieLevel 24 | 24 | 1 | 2/128 | 
