[Weapon: Rune Warhammer]


Therune warhammeris the second strongest type ofwarhammerin the game, better than theadamant warhammerbut weaker than thedragon warhammer. Players can make a rune warhammer with theSmithingskillat level 94 using 3runite bars, giving 225 Smithingexperience.
Unlike otherrune weapons, it requires 40Strengthto wield and has noAttackrequirement, making it popular as a knockout weapon forfree-to-play strength pures.


[Infobox]
Released: 29 March2004(Update)
Members: No
Quest item: No
Tradeable: Yes
Equipable: Yes
Stackable: No
Noteable: Yes
Options: Wield, Drop
Examine: I don't think it's intended for joinery.
General Store Value: 41,500 coins
High alch: 24,900 coins
Low alch: 16,600 coins
Weight: 1.814 kg
Grand Exchange Value: 24,710 coins
Grand Exchange Daily Buy Limit: 70
Grand Exchange Daily Trades Volume: 84,968


[Combat Stats]

Attack Bonuses:
- Stab: -4
- Slash: -4
- Crush: +53
- Magic: -4
- Ranged: +0

Defence Bonuses:
- Stab: +0
- Slash: +0
- Crush: +0
- Magic: +0
- Ranged: +0

Other Bonuses:
- Strength: +62
- Ranged Strength: +0
- Magic Damage: +0%
- Prayer: +0

Slot: Weapon slot


[Combat Styles]
Combat style | Attack type | Weapon style | Attack speed | Range | Experience | Level boost
 | Pound | Crush | Accurate | 6 ticks (3.6s) | 1 tile |  | +3 Attack
 | Pummel | Crush | Aggressive |  | +3 Strength
 | Block | Crush | Defensive |  | +3 Defence


[Drop Sources]
Source | Level | Quantity | Rarity | Leagueregion
Cave kraken | 127 | 1 | 4/200 | 
Ice troll femaleVariant 1 | 82 | 1 | 1/128 | 
Ice troll grunt | 100 | 1 | 1/128 | 
Ice troll maleVariant 1 | 82 | 1 | 1/128 | 
Ice troll runtVariant 1 | 74 | 1 | 1/128 | 
Kraka | 91 | 1 | 1/128 | 
Kraken | 291 | 1 | 2/128 | 
Lizardman shaman | 150 | 1 | 8/250 | 
Magpie impling jar | N/A | 1 | 1/21 | 
Magpie impling | 65; 75 | 1 | 1/21 | 
Mutated Terrorbird | 178 | 1 | 3 × 1/64 | 
Mutated Tortoise | 247 | 1 | 3 × 1/64 | 
Pee Hat | 91 | 1 | 1/128 | 
Revenant cyclops | 82 | 2 | 1/105.95 | 
Revenant dark beast | 120 | 2 | 1/61.88 | 
Revenant demon | 98 | 2 | 1/87.52 | 
Revenant dragon | 135 | 2 | 1/49.75 | 
Revenant goblin | 15 | 2 | 1/863.89 | 
Revenant hellhound | 90 | 2 | 1/95.86 | 
Revenant hobgoblin | 60 | 2 | 1/180.73 | 
Revenant imp | 7 | 2 | 1/1,512.5 | 
Revenant knight | 126 | 2 | 1/53.23 | 
Revenant maledictus | 397 | 2 | 1/49.75 | 
Revenant ork | 105 | 2 | 1/72.6 | 
Revenant pyrefiend | 52 | 2 | 1/204.51 | 
Rewards Chest (Fortis Colosseum)Wave 9 | N/A | 5 | 424/21,600 | 
Rewards Chest (Fortis Colosseum)Wave 10 | N/A | 8 | 312/16,000 | 
Rewards Chest (Fortis Colosseum)Wave 11 | N/A | 5 | 360/2,080 | 
Rewards Chest (Fortis Colosseum)Wave 12 | N/A | 8 | 792/4,800 | 
Rock (Troll) | 111 | 1 | 1/128 | 
Rune dragon | 380 | 1 | 7/127 | &
Scorpia | 225 | 1 | 4/128 | 
Skeletal Wyvern | 140 | 1 | 2/128 | 
Stick | 104 | 1 | 1/128 | 
Troll general | 113 | 1 | 1/128 | 
Warped Terrorbird | 96; 138 | 1 | 1/64 | 
Warped Tortoise | 121 | 1 | 1/64 | 
Zombie (Tarn's Lair)Medium level | 61–80 | 1 | 1/128 | 
Zombie Pirate's Locker |  | 2 | 6/173 | N/A
Zombie pirateRegular | 22; 28; 34 | 1 | 6/1,260 | N/A
Zombie pirateDiary | 22; 28; 34 | 1 | 6/378 | N/A
