[Weapon: Zamorakian Hasta]


TheZamorakian hastais made by taking aZamorakian speartoOtto Godblessed, along with a payment of 300,000coins(only 150,000 if the player has completed theElite Kandarin Diary). It is the third most effective stab weapon behind theGhrazi rapierandOsmumten's fang. Despite the examine text calling it aspear, the Zamorakian hastadoes notdeal full damage when fighting theCorporeal Beast.
It is a popularweaponagainst enemies weak tostab, such asdragons. Due to its reasonablecrushbonus, it is also often used against enemies weak to crush, such asVet'ion. It also possesses the highest defensive bonuses for a one-handed melee weapon in stab, slash, and ranged. All of the stat bonuses remain the same as a Zamorakian spear, and it retains itsspecial attack. As the hasta can be wielded with off-hand equipment such as ashieldordefender, it is preferable over the spear in all instances except when fightingCorporeal Beast.


[Infobox]
Released: 9 January2014(Update)
Also called: Zhasta
Members: Yes
Quest item: No
Tradeable: Yes
Equipable: Yes
Stackable: No
Noteable: Yes
Options: Wield, Drop
Examine: An evil one-handed spear.
General Store Value: 300,000 coins
High alch: 180,000 coins
Low alch: 120,000 coins
Weight: 3 kg
Grand Exchange Value: 2,152,469 coins
Grand Exchange Daily Buy Limit: 8
Grand Exchange Daily Trades Volume: 685


[Combat Stats]

Attack Bonuses:
- Stab: +85
- Slash: +65
- Crush: +65
- Magic: +0
- Ranged: +0

Defence Bonuses:
- Stab: +13
- Slash: +13
- Crush: +12
- Magic: +0
- Ranged: +13

Other Bonuses:
- Strength: +75
- Ranged Strength: +0
- Magic Damage: +0%
- Prayer: +2

Slot: Weapon slot


[Combat Styles]
Combat style | Attack type | Weapon style | Attack speed | Range | Experience | Level boost
 | Lunge | Stab | Controlled | 4 ticks (2.4s) | 1 tile |  | +1 Attack, Strength, Defence
 | Swipe | Slash | Controlled |  | +1 Attack, Strength, Defence
 | Pound | Crush | Controlled |  | +1 Attack, Strength, Defence
 | Block | Stab | Defensive |  | +3 Defence


[Special Attack]
A player performs the Zamorakian hasta's special attack,Shove.
The Zamorakian hasta has aspecial attack,Shove, which it shares with thedragonandZamorakian spear. It pushes an opponent back andstunsthem for three seconds, consuming 25% of the player's special attack energy.
The effects of this special are non-stackable, meaning that players cannot use the hasta's special attack on a target who is already stunned. In addition to this, players are given a one tick (0.6 seconds) period of immunity after a stun wears off in which they cannot be stunned again. In addition to this, as soon as the stun wears off, the stunned player is also granted a 5 tick (3.0 seconds) period of immunity against being bound in place by binding spells likeEntangleorIce Barrage.
In addition, it cannot be used against large monsters, such as giants, because they are too big to push back. If a player tries this, a regular attack occurs and no special attack energy is consumed. A message appears in the chat box, reading, "That creature is too large to knock back!" A general way to tell if the hasta can use the "Shove" special attack is to determine how much space the target monster takes up. If it takes up more than one space, it cannot be shoved. For example, a player can shove anice warrior, which takes up one space, but not anice giant, which takes up four.


[Used in Recommended Equipment]
Rank | Method
5 | Abyssal Sire/Strategies(Phase 2 Other Melee Weapons)
4 | Adamant dragon/Strategies(Melee)
4 | Alchemical Hydra/Strategies(Melee)
3 | Amoxliatl/Strategies(Melee)
5 | Ancient Wyvern/Strategies(Melee)
4 | Araxxor/Strategies(Melee)
3 | Basilisk Knight/Strategies(Melee)
3 | Calvar'ion/Strategies(Melee)
5 | Chambers of Xeric/Challenge Mode/Strategies(Tekton)
3 | Chambers of Xeric/Challenge Mode/Strategies(crystals)
4 | Chambers of Xeric/Strategies(Melee)
5 | Chambers of Xeric/Strategies(Tekton)
5 | Drake/Strategies(Melee)
3 | Galvek Speed-Trialist(Melee)
4 | General Graardor/Strategies(Solo (Melee))
4 | General Graardor/Strategies(Advanced Tank)
3 | Giant Mole/Strategies(Melee)
3 | Glough Speed-Trialist(Melee)
2 | Green dragon/Strategies(Melee)
5 | Grotesque Guardians/Strategies(Melee)
3 | K'ril Tsutsaroth/Strategies(Melee Tank)
4 | Kalphite Queen/Strategies(Pre-diary Method)
4 | King Black Dragon/Strategies(Melee BIS smuggle)
4 | King Black Dragon/Strategies(4-item melee)
2 | Krystilia/Strategies(Melee)
5 | Lizardman shaman/Strategies(Melee)
4 | Metal dragons/Strategies(Melee)
3 | Mithril dragon/Strategies(Melee)
3 | Mithril dragon/Strategies(Melee tank)
4 | Moons of Peril/Strategies(Blood Moon)
4 | Moons of Peril/Strategies(Blue Moon)
4 | Moons of Peril/Strategies(Eclipse Moon)
5 | Nightmare Zone/Strategies(Melee (Prayer))
5 | The Nightmare/Strategies(Melee)
5 | Phosani's Nightmare/Strategies(Melee)
4 | Rune dragon/Strategies(Melee)
4 | Sarachnis/Strategies(Melee)
5 | Slayer task/Fossil Island wyverns(Melee)
3 | Slayer task/Gargoyles(Melee)
3 | Slayer task/Suqah(Melee (South))
5 | Slayer task/Trolls(Melee (Mountain trolls))
3 | Slayer task/Trolls(Melee (Ice trolls))
3 | Slayer task/Waterfiends(Melee)
3 | Slayer task/Wyrms(Melee)
5 | Slayer training(Melee)
4 | Spindel/Strategies(Melee)
4 | The Hueycoatl/Strategies(Melee)
3 | Tombs of Amascut/Strategies(Melee switch)
3 | Tombs of Amascut/Strategies(Akkha)
5 | Tombs of Amascut/Strategies(Ba-Ba)
4 | TzHaar Fight Cave/Strategies(Melee)
3 | Ultimate Ironman Guide/Equipment
4 | Ultimate Ironman Guide/Slayer
4 | Venenatis/Strategies(Melee)
3 | Vet'ion/Strategies(Melee)
5 | Vorkath/Strategies(Melee)
